"","gene","pd_12.14","pd_12.2","pd_12.7","pd_13.10","pd_13.13","pd_13.9","pd_14.11","pd_14.12","pd_14.8","pd_15.3","pd_15.6","SeqName","Description","Length","X.Hits","e.Value","sim.mean","X.GO","GO.Names.list","Enzyme.Codes.list","InterPro.IDs"
"1","g12418",34,0,22,19,39,16,25,13,0,18,36,"scaffold971cov100.g12418.t1","sidekick- partial",3351,10,"1.54E-64","42.5%",NA,"","","IPR000421 (SMART); IPR003961 (SMART); IPR000421 (PFAM); IPR008979 (G3DSA:2.60.120.GENE3D); IPR013783 (G3DSA:2.60.40.GENE3D); IPR013783 (G3DSA:2.60.40.GENE3D); IPR003961 (PFAM); IPR013783 (G3DSA:2.60.40.GENE3D); IPR008979 (G3DSA:2.60.120.GENE3D); IPR008979 (PTHR24543:PANTHER); IPR008979 (PANTHER); IPR008979 (PANTHER); IPR008979 (PTHR24543:PANTHER); IPR000421 (PROSITE_PATTERNS); IPR000421 (PROSITE_PATTERNS); IPR000421 (PROSITE_PATTERNS); IPR000421 (PROSITE_PROFILES); IPR003961 (PROSITE_PROFILES); IPR000421 (PROSITE_PROFILES); IPR003961 (PROSITE_PROFILES); IPR003961 (PROSITE_PROFILES); IPR003961 (PROSITE_PROFILES); IPR003961 (PROSITE_PROFILES); IPR000421 (PROSITE_PROFILES); IPR003961 (PROSITE_PROFILES); IPR003961 (CDD); IPR003961 (CDD); IPR003961 (CDD); IPR003961 (CDD); IPR003961 (CDD); IPR003961 (CDD); IPR003961 (CDD); IPR003961 (CDD); IPR003961 (CDD); IPR003961 (SUPERFAMILY); IPR008979 (SUPERFAMILY); IPR003961 (SUPERFAMILY); IPR008979 (SUPERFAMILY); IPR003961 (SUPERFAMILY); IPR008979 (SUPERFAMILY)"
"2","g16575",30,1198,90,49,176,161,314,362,251,87,69,"scaffold1385cov97.g16575.t1","beta gamma crystallin isoform 9",522,10,"9.76E-71","75.8%",NA,"","","IPR001064 (SMART); IPR001064 (PFAM); IPR001064 (G3DSA:2.60.20.GENE3D); IPR001064 (PROSITE_PROFILES); IPR011024 (SUPERFAMILY)"
"3","g16842",183,69,193,114,165,212,301,160,71,158,265,"scaffold1396cov105.g16842.t1","TPR and ankyrin repeat-containing partial",7479,10,"0,00E+00","61.4%",NA,"","","IPR019734 (SMART); IPR002110 (SMART); IPR011990 (G3DSA:1.25.40.GENE3D); IPR020683 (G3DSA:1.25.40.GENE3D); IPR027417 (G3DSA:3.40.50.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); IPR019734 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR027417 (G3DSA:3.40.50.GENE3D); IPR027417 (PTHR21529:PANTHER); IPR027417 (PANTHER); IPR019734 (PROSITE_PROFILES); IPR013026 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR013026 (PROSITE_PROFILES); IPR020683 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR020683 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR020683 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR013026 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR013026 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (CDD); IPR020683 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR027417 (SUPERFAMILY); IPR020683 (SUPERFAMILY)"
"4","g17686",23,0,28,22,36,18,57,18,0,27,49,"scaffold1488cov102.g17686.t1","dynein heavy chain axonemal-like",1074,10,"5.44E-120","75%",1,"F:nucleotide binding","","Coil (COILS); PF12781 (PFAM); IPR004273 (PFAM); IPR004273 (PTHR10676:PANTHER); IPR026983 (PANTHER)"
"5","g18533",0,13,0,0,27,8,20,20,10,9,11,"scaffold1539cov102.g18533.t1","type II inositol 3,4-bisphosphate 4-phosphatase-like",297,10,"6.57E-34","70.3%",NA,"","","PTHR12187 (PANTHER)"
"6","g22021",1110,553,1651,1008,1661,1260,1536,885,716,1045,1775,"scaffold1977cov109.g22021.t1","solute carrier family member 7; protein",1803,10,"0,00E+00","68.6%",5,"P:neurotransmitter transport; P:transmembrane transport; F:neurotransmitter:sodium symporter activity; C:integral component of membrane; C:cell part","","IPR000175 (PRINTS); IPR000175 (PFAM); IPR000175 (PANTHER); IPR000175 (PROSITE_PATTERNS); IPR000175 (PROSITE_PATTERNS); IPR000175 (PROSITE_PROFILES); IPR000175 (SUPERFAMILY)"
"7","g22176",24,0,24,15,9,27,33,19,0,15,15,"scaffold1984cov104.g22176.t1","solute carrier family 22",738,10,"1.43E-29","57.5%",NA,"","","G3DSA:1.20.1250.20 (GENE3D); IPR011701 (PFAM); IPR011701 (PANTHER); IPR020846 (PROSITE_PROFILES); IPR020846 (CDD); IPR020846 (SUPERFAMILY)"
"8","g28573",24,0,23,26,29,28,16,15,0,8,37,"scaffold2783cov107.g28573.t1","GA-binding subunit beta- partial; ga-binding protein subunit beta- partial",597,10,"5.24E-65","76.7%",5,"C:nucleus; F:protein homodimerization activity; F:protein heterodimerization activity; F:transcription regulatory region DNA binding; P:positive regulation of transcription from RNA polymerase II promoter","","IPR002110 (PRINTS); IPR002110 (SMART); IPR020683 (PFAM); IPR020683 (G3DSA:1.25.40.GENE3D); IPR020683 (G3DSA:1.25.40.GENE3D); IPR002110 (PFAM); IPR002110 (PANTHER); IPR002110 (PTHR24193:PANTHER); IPR002110 (PROSITE_PROFILES); IPR020683 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); IPR002110 (CDD); IPR020683 (SUPERFAMILY)"
"9","g29286",15,191,3,12,14,12,17,4,33,20,12,"scaffold2906cov105.g29286.t1","---NA---",771,NA,"","",NA,"","","no IPS match"
"10","g29654",20,0,12,22,28,8,31,16,0,15,12,"scaffold2969cov99.g29654.t1","collagen alpha-1(VII) chain-like",522,10,"5.23E-5","47.8%",NA,"","","IPR002035 (PFAM); IPR002035 (G3DSA:3.40.50.GENE3D); IPR002035 (PANTHER); IPR002035 (PROSITE_PROFILES); IPR002035 (CDD); IPR002035 (SUPERFAMILY)"
